DATE,TIME,SPO2,PULSE
0000-00-00, 00:03:36, 95, 66
0000-00-00, 00:03:37, 95, 67
0000-00-00, 00:03:38, 95, 67
0000-00-00, 00:03:39, 95, 68
0000-00-00, 00:03:40, 95, 68
0000-00-00, 00:03:41, 95, 69
0000-00-00, 00:03:42, 94, 69
0000-00-00, 00:03:43, 94, 69
0000-00-00, 00:03:44, 94, 69
0000-00-00, 00:03:45, 94, 69
0000-00-00, 00:03:46, 94, 68
0000-00-00, 00:03:47, 94, 68
0000-00-00, 00:03:48, 94, 68
0000-00-00, 00:03:49, 95, 68
0000-00-00, 00:03:50, 95, 69
0000-00-00, 00:03:51, 95, 69
0000-00-00, 00:03:52, 96, 69
0000-00-00, 00:03:53, 96, 69
0000-00-00, 00:03:54, 97, 69
0000-00-00, 00:03:55, 97, 69
0000-00-00, 00:03:56, 97, 69
0000-00-00, 00:03:57, 97, 69
0000-00-00, 00:03:58, 97, 68
0000-00-00, 00:03:59, 97, 68
0000-00-00, 00:04:00, 97, 68
0000-00-00, 00:04:01, 97, 68
0000-00-00, 00:04:02, 97, 67
0000-00-00, 00:04:03, 97, 67
0000-00-00, 00:04:04, 96, 67
0000-00-00, 00:04:05, 96, 67
0000-00-00, 00:04:06, 96, 66
0000-00-00, 00:04:07, 96, 66
0000-00-00, 00:04:08, 96, 65
0000-00-00, 00:04:09, 96, 65
0000-00-00, 00:04:10, 96, 65
0000-00-00, 00:04:11, 96, 65
0000-00-00, 00:04:12, 96, 64
0000-00-00, 00:04:13, 96, 64
0000-00-00, 00:04:14, 96, 64
0000-00-00, 00:04:15, 96, 65
0000-00-00, 00:04:16, 96, 65
0000-00-00, 00:04:17, 96, 65
0000-00-00, 00:04:18, 96, 66
0000-00-00, 00:04:19, 96, 66
0000-00-00, 00:04:20, 96, 67
0000-00-00, 00:04:21, 96, 67
0000-00-00, 00:04:22, 95, 68
0000-00-00, 00:04:23, 95, 68
0000-00-00, 00:04:24, 95, 68
0000-00-00, 00:04:25, 95, 68
0000-00-00, 00:04:26, 95, 68
0000-00-00, 00:04:27, 95, 68
0000-00-00, 00:04:28, 95, 68
0000-00-00, 00:04:29, 95, 68
0000-00-00, 00:04:30, 95, 68
0000-00-00, 00:04:31, 94, 68
0000-00-00, 00:04:32, 94, 68
0000-00-00, 00:04:33, 94, 68
0000-00-00, 00:04:34, 94, 68
0000-00-00, 00:04:35, 94, 69
0000-00-00, 00:04:36, 94, 69
0000-00-00, 00:04:37, 95, 69
0000-00-00, 00:04:38, 95, 69
0000-00-00, 00:04:39, 95, 69
0000-00-00, 00:04:40, 95, 69
0000-00-00, 00:04:41, 95, 69
0000-00-00, 00:04:42, 95, 69
0000-00-00, 00:04:43, 95, 69
0000-00-00, 00:04:44, 95, 69
0000-00-00, 00:04:45, 95, 70
0000-00-00, 00:04:46, 95, 73
0000-00-00, 00:04:47, 95, 74
0000-00-00, 00:04:48, 95, 75
0000-00-00, 00:04:49, 95, 76
0000-00-00, 00:04:50, 95, 76
0000-00-00, 00:04:51, 95, 76
0000-00-00, 00:04:52, 95, 76
0000-00-00, 00:04:53, 95, 76
0000-00-00, 00:04:54, 95, 76
0000-00-00, 00:04:55, 96, 76
0000-00-00, 00:04:56, 96, 76
0000-00-00, 00:04:57, 96, 75
0000-00-00, 00:04:58, 97, 75
0000-00-00, 00:04:59, 97, 73
0000-00-00, 00:05:00, 97, 72
0000-00-00, 00:05:01, 97, 70
0000-00-00, 00:05:02, 97, 69
0000-00-00, 00:05:03, 97, 68
0000-00-00, 00:05:04, 96, 67
0000-00-00, 00:05:05, 96, 66
0000-00-00, 00:05:06, 96, 66
0000-00-00, 00:05:07, 96, 66
0000-00-00, 00:05:08, 96, 65
0000-00-00, 00:05:09, 97, 65
0000-00-00, 00:05:10, 97, 65
0000-00-00, 00:05:11, 97, 64
0000-00-00, 00:05:12, 97, 64
0000-00-00, 00:05:13, 97, 64
0000-00-00, 00:05:14, 97, 64
0000-00-00, 00:05:15, 97, 64
0000-00-00, 00:05:16, 97, 64
0000-00-00, 00:05:17, 96, 64
0000-00-00, 00:05:18, 96, 65
0000-00-00, 00:05:19, 96, 65
0000-00-00, 00:05:20, 96, 66
0000-00-00, 00:05:21, 96, 66
0000-00-00, 00:05:22, 95, 66
0000-00-00, 00:05:23, 95, 67
0000-00-00, 00:05:24, 95, 67
0000-00-00, 00:05:25, 95, 67
0000-00-00, 00:05:26, 94, 67
0000-00-00, 00:05:27, 94, 67
0000-00-00, 00:05:28, 93, 68
0000-00-00, 00:05:29, 93, 68
0000-00-00, 00:05:30, 92, 69
0000-00-00, 00:05:31, 92, 69
0000-00-00, 00:05:32, 91, 68
0000-00-00, 00:05:33, 91, 68
0000-00-00, 00:05:34, 90, 68
0000-00-00, 00:05:35, 90, 68
0000-00-00, 00:05:36, 90, 68
0000-00-00, 00:05:37, 90, 68
0000-00-00, 00:05:38, 91, 68
0000-00-00, 00:05:39, 91, 68
0000-00-00, 00:05:40, 93, 67
0000-00-00, 00:05:41, 94, 67
0000-00-00, 00:05:42, 94, 67
0000-00-00, 00:05:43, 95, 67
0000-00-00, 00:05:44, 96, 67
0000-00-00, 00:05:45, 96, 67
0000-00-00, 00:05:46, 96, 67
0000-00-00, 00:05:47, 96, 67
0000-00-00, 00:05:48, 96, 67
0000-00-00, 00:05:49, 96, 67
0000-00-00, 00:05:50, 96, 67
0000-00-00, 00:05:51, 96, 67
0000-00-00, 00:05:52, 96, 67
0000-00-00, 00:05:53, 96, 67
0000-00-00, 00:05:54, 96, 67
0000-00-00, 00:05:55, 96, 67
0000-00-00, 00:05:56, 96, 67
0000-00-00, 00:05:57, 96, 67
0000-00-00, 00:05:58, 96, 67
0000-00-00, 00:05:59, 95, 68
0000-00-00, 00:06:00, 95, 67
0000-00-00, 00:06:01, 95, 67
0000-00-00, 00:06:02, 95, 67
0000-00-00, 00:06:03, 95, 68
0000-00-00, 00:06:04, 95, 69
0000-00-00, 00:06:05, 95, 69
0000-00-00, 00:06:06, 95, 70
0000-00-00, 00:06:07, 95, 70
0000-00-00, 00:06:08, 95, 70
0000-00-00, 00:06:09, 95, 70
0000-00-00, 00:06:10, 94, 69
0000-00-00, 00:06:11, 94, 69
0000-00-00, 00:06:12, 94, 69
0000-00-00, 00:06:13, 94, 69
0000-00-00, 00:06:14, 94, 69
0000-00-00, 00:06:15, 94, 69
0000-00-00, 00:06:16, 94, 70
0000-00-00, 00:06:17, 93, 71
0000-00-00, 00:06:18, 93, 71
0000-00-00, 00:06:19, 93, 72
0000-00-00, 00:06:20, 93, 73
0000-00-00, 00:06:21, 93, 73
0000-00-00, 00:06:22, 92, 73
0000-00-00, 00:06:23, 92, 72
0000-00-00, 00:06:24, 92, 72
0000-00-00, 00:06:25, 92, 72
0000-00-00, 00:06:26, 91, 72
0000-00-00, 00:06:27, 91, 71
0000-00-00, 00:06:28, 91, 71
0000-00-00, 00:06:29, 91, 71
0000-00-00, 00:06:30, 91, 72
0000-00-00, 00:06:31, 92, 73
0000-00-00, 00:06:32, 92, 73
0000-00-00, 00:06:33, 92, 73
0000-00-00, 00:06:34, 92, 73
0000-00-00, 00:06:35, 92, 73
0000-00-00, 00:06:36, 92, 73
0000-00-00, 00:06:37, 92, 73
0000-00-00, 00:06:38, 92, 73
0000-00-00, 00:06:39, 92, 73
0000-00-00, 00:06:40, 92, 73
0000-00-00, 00:06:41, 92, 73
0000-00-00, 00:06:42, 92, 73
0000-00-00, 00:06:43, 92, 74
0000-00-00, 00:06:44, 93, 75
0000-00-00, 00:06:45, 93, 77
0000-00-00, 00:06:46, 93, 77
0000-00-00, 00:06:47, 94, 77
0000-00-00, 00:06:48, 94, 78
0000-00-00, 00:06:49, 94, 77
0000-00-00, 00:06:50, 95, 77
0000-00-00, 00:06:51, 96, 76
0000-00-00, 00:06:52, 96, 75
0000-00-00, 00:06:53, 97, 75
0000-00-00, 00:06:54, 98, 74
0000-00-00, 00:06:55, 98, 73
0000-00-00, 00:06:56, 98, 72
0000-00-00, 00:06:57, 99, 71
0000-00-00, 00:06:58, 99, 70
0000-00-00, 00:06:59, 98, 69
0000-00-00, 00:07:00, 98, 69
0000-00-00, 00:07:01, 98, 68
0000-00-00, 00:07:02, 98, 67
0000-00-00, 00:07:03, 98, 67
0000-00-00, 00:07:04, 98, 67
0000-00-00, 00:07:05, 98, 67
0000-00-00, 00:07:06, 98, 67
0000-00-00, 00:07:07, 98, 67
0000-00-00, 00:07:08, 98, 68
0000-00-00, 00:07:09, 97, 69
0000-00-00, 00:07:10, 97, 69
0000-00-00, 00:07:11, 97, 70
0000-00-00, 00:07:12, 96, 70
0000-00-00, 00:07:13, 96, 71
0000-00-00, 00:07:14, 96, 71
0000-00-00, 00:07:15, 96, 71
0000-00-00, 00:07:16, 96, 71
0000-00-00, 00:07:17, 95, 71
0000-00-00, 00:07:18, 95, 71
0000-00-00, 00:07:19, 95, 71
0000-00-00, 00:07:20, 95, 71
0000-00-00, 00:07:21, 95, 71
0000-00-00, 00:07:22, 94, 71
0000-00-00, 00:07:23, 94, 70
0000-00-00, 00:07:24, 94, 70
0000-00-00, 00:07:25, 95, 70
0000-00-00, 00:07:26, 96, 69
0000-00-00, 00:07:27, 96, 69
0000-00-00, 00:07:28, 97, 69
0000-00-00, 00:07:29, 98, 70
0000-00-00, 00:07:30, 98, 70
0000-00-00, 00:07:31, 99, 70
0000-00-00, 00:07:32, 99, 70
0000-00-00, 00:07:33, 98, 70
0000-00-00, 00:07:34, 98, 70
0000-00-00, 00:07:35, 98, 71
0000-00-00, 00:07:36, 98, 71
0000-00-00, 00:07:37, 98, 71
0000-00-00, 00:07:38, 97, 71
0000-00-00, 00:07:39, 97, 72
0000-00-00, 00:07:40, 96, 72
0000-00-00, 00:07:41, 96, 72
0000-00-00, 00:07:42, 95, 72
0000-00-00, 00:07:43, 95, 72
0000-00-00, 00:07:44, 94, 73
0000-00-00, 00:07:45, 94, 73
0000-00-00, 00:07:46, 94, 73
0000-00-00, 00:07:47, 94, 74
0000-00-00, 00:07:48, 94, 74
0000-00-00, 00:07:49, 95, 74
0000-00-00, 00:07:50, 95, 74
0000-00-00, 00:07:51, 95, 74
0000-00-00, 00:07:52, 95, 74
0000-00-00, 00:07:53, 95, 73
0000-00-00, 00:07:54, 95, 74
0000-00-00, 00:07:55, 95, 74
0000-00-00, 00:07:56, 96, 75
0000-00-00, 00:07:57, 96, 75
0000-00-00, 00:07:58, 96, 75
0000-00-00, 00:07:59, 96, 75
0000-00-00, 00:08:00, 96, 75
0000-00-00, 00:08:01, 96, 74
0000-00-00, 00:08:02, 96, 74
0000-00-00, 00:08:03, 96, 73
0000-00-00, 00:08:04, 96, 73
0000-00-00, 00:08:05, 96, 72
0000-00-00, 00:08:06, 95, 71
0000-00-00, 00:08:07, 94, 71
0000-00-00, 00:08:08, 94, 71
0000-00-00, 00:08:09, 94, 71
0000-00-00, 00:08:10, 93, 72
0000-00-00, 00:08:11, 93, 73
0000-00-00, 00:08:12, 93, 73
0000-00-00, 00:08:13, 92, 74
0000-00-00, 00:08:14, 92, 75
0000-00-00, 00:08:15, 92, 75
0000-00-00, 00:08:16, 92, 75
0000-00-00, 00:08:17, 92, 75
0000-00-00, 00:08:18, 92, 75
0000-00-00, 00:08:19, 93, 74
0000-00-00, 00:08:20, 93, 74
0000-00-00, 00:08:21, 93, 74
0000-00-00, 00:08:22, 93, 73
0000-00-00, 00:08:23, 94, 73
0000-00-00, 00:08:24, 94, 72
0000-00-00, 00:08:25, 94, 72
0000-00-00, 00:08:26, 95, 72
0000-00-00, 00:08:27, 95, 72
0000-00-00, 00:08:28, 95, 71
0000-00-00, 00:08:29, 95, 71
0000-00-00, 00:08:30, 95, 71
0000-00-00, 00:08:31, 95, 71
0000-00-00, 00:08:32, 95, 71
0000-00-00, 00:08:33, 95, 72
0000-00-00, 00:08:34, 95, 72
0000-00-00, 00:08:35, 95, 73
0000-00-00, 00:08:36, 95, 73
0000-00-00, 00:08:37, 95, 73
0000-00-00, 00:08:38, 95, 73
0000-00-00, 00:08:39, 94, 73
0000-00-00, 00:08:40, 94, 72
0000-00-00, 00:08:41, 94, 72
0000-00-00, 00:08:42, 94, 72
0000-00-00, 00:08:43, 93, 72
0000-00-00, 00:08:44, 93, 73
0000-00-00, 00:08:45, 93, 73
0000-00-00, 00:08:46, 93, 74
0000-00-00, 00:08:47, 92, 75
0000-00-00, 00:08:48, 92, 75
0000-00-00, 00:08:49, 92, 75
0000-00-00, 00:08:50, 92, 76
0000-00-00, 00:08:51, 92, 76
0000-00-00, 00:08:52, 92, 76
0000-00-00, 00:08:53, 92, 76
0000-00-00, 00:08:54, 93, 77
0000-00-00, 00:08:55, 93, 77
0000-00-00, 00:08:56, 93, 77
0000-00-00, 00:08:57, 93, 77
0000-00-00, 00:08:58, 93, 75
0000-00-00, 00:08:59, 93, 75
0000-00-00, 00:09:00, 93, 75
0000-00-00, 00:09:01, 93, 74
0000-00-00, 00:09:02, 93, 73
0000-00-00, 00:09:03, 94, 72
0000-00-00, 00:09:04, 94, 72
0000-00-00, 00:09:05, 94, 71
0000-00-00, 00:09:06, 95, 71
0000-00-00, 00:09:07, 95, 71
0000-00-00, 00:09:08, 95, 71
0000-00-00, 00:09:09, 96, 71
0000-00-00, 00:09:10, 96, 71
0000-00-00, 00:09:11, 96, 71
0000-00-00, 00:09:12, 96, 72
0000-00-00, 00:09:13, 96, 73
0000-00-00, 00:09:14, 96, 73
0000-00-00, 00:09:15, 96, 73
0000-00-00, 00:09:16, 95, 73
0000-00-00, 00:09:17, 95, 73
0000-00-00, 00:09:18, 95, 73
0000-00-00, 00:09:19, 95, 73
0000-00-00, 00:09:20, 95, 73
0000-00-00, 00:09:21, 95, 73
0000-00-00, 00:09:22, 95, 73
0000-00-00, 00:09:23, 95, 72
0000-00-00, 00:09:24, 95, 72
0000-00-00, 00:09:25, 95, 72
0000-00-00, 00:09:26, 95, 71
0000-00-00, 00:09:27, 95, 71
0000-00-00, 00:09:28, 95, 71
0000-00-00, 00:09:29, 95, 71
0000-00-00, 00:09:30, 95, 71
0000-00-00, 00:09:31, 95, 72
0000-00-00, 00:09:32, 95, 72
0000-00-00, 00:09:33, 95, 73
0000-00-00, 00:09:34, 95, 73
0000-00-00, 00:09:35, 95, 73
0000-00-00, 00:09:36, 95, 73
0000-00-00, 00:09:37, 95, 73
0000-00-00, 00:09:38, 95, 73
0000-00-00, 00:09:39, 95, 73
0000-00-00, 00:09:40, 95, 73
0000-00-00, 00:09:41, 96, 73
0000-00-00, 00:09:42, 96, 73
0000-00-00, 00:09:43, 95, 72
0000-00-00, 00:09:44, 95, 72
0000-00-00, 00:09:45, 95, 73
0000-00-00, 00:09:46, 94, 73
0000-00-00, 00:09:47, 94, 73
0000-00-00, 00:09:48, 94, 73
0000-00-00, 00:09:49, 93, 73
0000-00-00, 00:09:50, 92, 73
0000-00-00, 00:09:51, 91, 73
0000-00-00, 00:09:52, 91, 73
0000-00-00, 00:09:53, 91, 73
0000-00-00, 00:09:54, 90, 74
0000-00-00, 00:09:55, 90, 74
0000-00-00, 00:09:56, 89, 74
0000-00-00, 00:09:57, 89, 74
0000-00-00, 00:09:58, 89, 74
0000-00-00, 00:09:59, 89, 73
0000-00-00, 00:10:00, 89, 73
0000-00-00, 00:10:01, 90, 73
0000-00-00, 00:10:02, 91, 73
0000-00-00, 00:10:03, 92, 74
0000-00-00, 00:10:04, 93, 74
0000-00-00, 00:10:05, 94, 75
0000-00-00, 00:10:06, 94, 75
0000-00-00, 00:10:07, 95, 75
0000-00-00, 00:10:08, 95, 75
0000-00-00, 00:10:09, 95, 75
0000-00-00, 00:10:10, 95, 75
0000-00-00, 00:10:11, 95, 74
0000-00-00, 00:10:12, 95, 74
0000-00-00, 00:10:13, 95, 74
0000-00-00, 00:10:14, 95, 74
0000-00-00, 00:10:15, 95, 73
0000-00-00, 00:10:16, 94, 74
0000-00-00, 00:10:17, 94, 73
0000-00-00, 00:10:18, 94, 73
0000-00-00, 00:10:19, 94, 73
0000-00-00, 00:10:20, 93, 74
0000-00-00, 00:10:21, 93, 74
0000-00-00, 00:10:22, 93, 74
0000-00-00, 00:10:23, 93, 75
0000-00-00, 00:10:24, 92, 75
0000-00-00, 00:10:25, 92, 74
0000-00-00, 00:10:26, 92, 74
0000-00-00, 00:10:27, 92, 74
0000-00-00, 00:10:28, 92, 73
0000-00-00, 00:10:29, 92, 72
0000-00-00, 00:10:30, 93, 72
0000-00-00, 00:10:31, 93, 71
0000-00-00, 00:10:32, 93, 71
0000-00-00, 00:10:33, 94, 71
0000-00-00, 00:10:34, 94, 71
0000-00-00, 00:10:35, 95, 71
0000-00-00, 00:10:36, 95, 72
0000-00-00, 00:10:37, 95, 72
0000-00-00, 00:10:38, 95, 72
0000-00-00, 00:10:39, 95, 72
0000-00-00, 00:10:40, 95, 73
0000-00-00, 00:10:41, 95, 73
0000-00-00, 00:10:42, 95, 73
0000-00-00, 00:10:43, 94, 72
0000-00-00, 00:10:44, 94, 72
0000-00-00, 00:10:45, 94, 72
0000-00-00, 00:10:46, 94, 72
0000-00-00, 00:10:47, 94, 72
0000-00-00, 00:10:48, 94, 72
0000-00-00, 00:10:49, 93, 72
0000-00-00, 00:10:50, 93, 72
0000-00-00, 00:10:51, 93, 72
0000-00-00, 00:10:52, 93, 72
0000-00-00, 00:10:53, 93, 72
0000-00-00, 00:10:54, 93, 72
0000-00-00, 00:10:55, 93, 73
0000-00-00, 00:10:56, 93, 73
0000-00-00, 00:10:57, 93, 73
0000-00-00, 00:10:58, 93, 73
0000-00-00, 00:10:59, 93, 73
0000-00-00, 00:11:00, 93, 73
0000-00-00, 00:11:01, 93, 74
0000-00-00, 00:11:02, 93, 74
0000-00-00, 00:11:03, 93, 73
0000-00-00, 00:11:04, 93, 73
0000-00-00, 00:11:05, 93, 73
0000-00-00, 00:11:06, 93, 73
0000-00-00, 00:11:07, 93, 73
0000-00-00, 00:11:08, 93, 73
0000-00-00, 00:11:09, 93, 73
0000-00-00, 00:11:10, 93, 73
0000-00-00, 00:11:11, 93, 73
0000-00-00, 00:11:12, 93, 73
0000-00-00, 00:11:13, 93, 73
0000-00-00, 00:11:14, 93, 73
0000-00-00, 00:11:15, 93, 72
0000-00-00, 00:11:16, 93, 72
0000-00-00, 00:11:17, 92, 72
0000-00-00, 00:11:18, 92, 72
0000-00-00, 00:11:19, 92, 72
0000-00-00, 00:11:20, 92, 73
0000-00-00, 00:11:21, 92, 73
0000-00-00, 00:11:22, 92, 74
0000-00-00, 00:11:23, 92, 74
0000-00-00, 00:11:24, 92, 74
0000-00-00, 00:11:25, 92, 74
0000-00-00, 00:11:26, 92, 74
0000-00-00, 00:11:27, 92, 74
0000-00-00, 00:11:28, 93, 74
0000-00-00, 00:11:29, 93, 74
0000-00-00, 00:11:30, 94, 74
0000-00-00, 00:11:31, 94, 74
0000-00-00, 00:11:32, 94, 74
0000-00-00, 00:11:33, 95, 73
0000-00-00, 00:11:34, 95, 73
0000-00-00, 00:11:35, 96, 72
0000-00-00, 00:11:36, 96, 72
